customerID,interactiontimestamp,interactionchannel,interaction type,interactionoutcome,interactionduration,customersentiment,agent
5380-WJKOV,2/3/2022,chat,complaint,closed,0:06,negative,Anton
8168-UQWWF,11/14/2022,twitter,complaint,closed,0:02,negative,Greg
8865-TNMNX,12/23/2022,instagram,complaint,pending,0:02,neutral,Isla
9489-DEDVP,2/13/2022,in-person,purchase,closed,0:22,positive,Emily
9867-JCZSP,8/19/2021,phone,support,closed,0:02,neutral,Violet
4671-VJLCL,3/26/2021,email,feedback,closed,0:02,negative,Norma
4080-IIARD,4/5/2021,chat,complaint,escalated,0:02,negative,John
3714-NTNFO,2/3/2022,twitter,complaint,resolved,0:02,positive,Raul
5948-UJZLF,1/2/2021,instagram,complaint,escalated,0:02,negative,Liz
7760-OYPDY,1/13/2022,in-person,subscription,closed,0:38,neutral,Sam
7639-LIAYI,7/15/2022,phone,inquiry,converted,0:15,positive,Skylar
2954-PIBKO,9/8/2022,email,complaint,escalated,0:02,negative,Peyton
8012-SOUDQ,10/10/2021,chat,complaint,closed,0:06,negative,Skylar
9420-LOJKX,3/25/2021,twitter,complaint,closed,0:02,negative,Liz
6575-SUVOI,5/8/2022,instagram,complaint,pending,0:02,neutral,Jackie
7495-OOKFY,7/15/2022,in-person,purchase,closed,0:22,positive,Angel
4667-QONEA,9/8/2022,phone,support,closed,0:02,neutral,Al
1658-BYGOY,10/10/2021,email,feedback,closed,0:02,negative,Al
8769-KKTPH,11/14/2022,chat,complaint,escalated,0:02,negative,Ingrid
5067-XJQFU,12/23/2022,twitter,complaint,resolved,0:02,positive,Gigi
3957-SQXML,2/13/2022,instagram,complaint,escalated,0:02,negative,Linda
5954-BDFSG,8/19/2021,in-person,subscription,closed,0:38,neutral,Maureen
0434-CSFON,3/26/2021,phone,inquiry,converted,0:15,positive,Maureen
1215-FIGMP,4/5/2021,email,complaint,escalated,0:02,negative,Sasha
0526-SXDJP,2/3/2022,chat,complaint,closed,0:06,negative,Kristen
0557-ASKVU,11/14/2022,twitter,complaint,closed,0:02,negative,Kayleigh
5698-BQJOH,12/23/2022,instagram,complaint,pending,0:02,neutral,Javi
5122-CYFXA,2/13/2022,in-person,purchase,closed,0:22,positive,Fran
8627-ZYGSZ,8/19/2021,phone,support,closed,0:02,neutral,Liz
3410-YOQBQ,3/26/2021,email,feedback,closed,0:02,negative,Liz
3170-NMYVV,4/5/2021,chat,complaint,escalated,0:02,negative,Anton
7410-OIEDU,2/3/2022,twitter,complaint,resolved,0:02,positive,Greg
2273-QCKXA,1/2/2021,instagram,complaint,escalated,0:02,negative,Isla
0731-EBJQB,1/13/2022,in-person,subscription,closed,0:38,neutral,Emily
1891-QRQSA,3/26/2021,phone,inquiry,converted,0:15,positive,Violet
8028-PNXHQ,4/5/2021,email,complaint,escalated,0:02,negative,Norma
5630-AHZIL,2/3/2022,chat,complaint,closed,0:06,negative,John
2673-CXQEU,11/14/2022,twitter,complaint,closed,0:02,negative,Raul
6416-JNVRK,12/23/2022,instagram,complaint,pending,0:02,neutral,Liz
5590-ZSKRV,2/13/2022,in-person,purchase,closed,0:22,positive,Sam
0191-ZHSKZ,8/19/2021,phone,support,closed,0:02,neutral,Skylar
3887-PBQAO,3/26/2021,email,feedback,closed,0:02,negative,Peyton
5919-TMRGD,4/5/2021,chat,complaint,escalated,0:02,negative,Skylar
8108-UXRQN,2/3/2022,twitter,complaint,resolved,0:02,positive,Javi
9191-MYQKX,1/2/2021,instagram,complaint,escalated,0:02,negative,Fran
9919-YLNNG,1/13/2022,in-person,subscription,closed,0:38,neutral,Liz
0318-ZOPWS,11/14/2022,phone,inquiry,converted,0:15,positive,Liz
4445-ZJNMU,12/23/2022,email,complaint,escalated,0:02,negative,Anton
4808-YNLEU,2/13/2022,chat,complaint,closed,0:06,negative,Greg
1862-QRWPE,8/19/2021,twitter,complaint,closed,0:02,negative,Isla
2796-NNUFI,3/26/2021,instagram,complaint,pending,0:02,neutral,Emily
3016-KSVCP,4/5/2021,in-person,purchase,closed,0:22,positive,Violet
4767-HZZHQ,2/3/2022,phone,support,closed,0:02,neutral,Norma
2424-WVHPL,11/14/2022,email,feedback,closed,0:02,negative,John
7233-PAHHL,12/23/2022,chat,complaint,escalated,0:02,negative,Raul
6067-NGCEU,2/13/2022,twitter,complaint,resolved,0:02,positive,Liz
9848-JQJTX,8/19/2021,instagram,complaint,escalated,0:02,negative,Sam
8637-XJIVR,3/26/2021,in-person,subscription,closed,0:38,neutral,Skylar
9803-FTJCG,4/5/2021,phone,inquiry,converted,0:15,positive,Peyton
0278-YXOOG,2/3/2022,email,complaint,escalated,0:02,negative,Skylar
3212-KXOCR,1/2/2021,chat,complaint,closed,0:06,negative,Javi
4598-XLKNJ,1/13/2022,twitter,complaint,closed,0:02,negative,Fran
6380-ARCEH,11/14/2022,instagram,complaint,pending,0:02,neutral,Liz
3679-XASPY,12/23/2022,in-person,purchase,closed,0:22,positive,Liz
7123-WQUHX,2/13/2022,phone,support,closed,0:02,neutral,Anton
5386-THSLQ,8/19/2021,email,feedback,closed,0:02,negative,Greg
3192-NQECA,3/26/2021,chat,complaint,escalated,0:02,negative,Isla
6180-YBIQI,4/5/2021,twitter,complaint,resolved,0:02,positive,Emily
6728-DKUCO,2/3/2022,instagram,complaint,escalated,0:02,negative,Violet
9750-BOOHV,11/14/2022,in-person,subscription,closed,0:38,neutral,Norma
8597-CWYHH,12/23/2022,phone,inquiry,converted,0:15,positive,John
2848-YXSMW,2/13/2022,email,complaint,escalated,0:02,negative,Raul
0486-HECZI,8/19/2021,chat,complaint,closed,0:06,negative,Liz
4549-ZDQYY,3/26/2021,twitter,complaint,closed,0:02,negative,Sam
5712-AHQNN,4/5/2021,instagram,complaint,pending,0:02,neutral,Skylar
4846-WHAFZ,2/3/2022,in-person,purchase,closed,0:22,positive,Peyton
5256-SKJGO,1/2/2021,phone,support,closed,0:02,neutral,Skylar
3071-VBYPO,1/13/2022,email,feedback,closed,0:02,negative,Liz
9560-BBZXK,11/14/2022,chat,complaint,escalated,0:02,negative,Jackie
5299-RULOA,12/23/2022,twitter,complaint,resolved,0:02,positive,Angel
8402-OOOHJ,2/12/2022,instagram,complaint,escalated,0:02,negative,Al
9445-ZUEQE,8/19/2021,in-person,subscription,closed,0:38,neutral,Al
1091-SOZGA,3/26/2021,phone,inquiry,converted,0:15,positive,Ingrid
2928-HLDBA,4/5/2021,email,complaint,escalated,0:02,negative,Gigi
0404-SWRVG,2/3/2022,chat,complaint,closed,0:06,negative,Linda
6497-TILVL,11/14/2022,twitter,complaint,closed,0:02,negative,Maureen
7219-TLZHO,12/23/2022,instagram,complaint,pending,0:02,neutral,Maureen
4622-YNKIJ,2/13/2022,in-person,purchase,closed,0:22,positive,Sasha
4412-YLTKF,8/19/2021,phone,support,closed,0:02,neutral,Kristen
6734-PSBAW,3/26/2021,email,feedback,closed,0:02,negative,Kayleigh
3930-ZGWVE,4/5/2021,chat,complaint,escalated,0:02,negative,Javi
2639-UGMAZ,2/3/2022,twitter,complaint,resolved,0:02,positive,Fran
2876-GZYZC,1/2/2021,instagram,complaint,escalated,0:02,negative,Liz
6207-WIOLX,1/13/2022,in-person,subscription,closed,0:38,neutral,Liz
8587-XYZSF,7/15/2022,phone,inquiry,converted,0:15,positive,Anton
3091-FYHKI,9/8/2022,email,complaint,escalated,0:02,negative,Greg
2372-HWUHI,10/10/2021,chat,complaint,closed,0:06,negative,Isla
7799-LGRDP,3/25/2021,twitter,complaint,closed,0:02,negative,Emily
7850-VWJUU,5/8/2022,instagram,complaint,pending,0:02,neutral,Violet
3774-VBNXY,7/15/2022,in-person,purchase,closed,0:22,positive,Norma
6217-KDYWC,9/8/2022,phone,support,closed,0:02,neutral,John
0390-DCFDQ,10/10/2021,email,feedback,closed,0:02,negative,Raul
3146-MSEGF,11/14/2022,chat,complaint,escalated,0:02,negative,Liz
4080-OGPJL,12/23/2022,twitter,complaint,resolved,0:02,positive,Sam
1095-WGNGG,2/13/2022,instagram,complaint,escalated,0:02,negative,Skylar
2636-SJDOU,8/19/2021,in-person,subscription,closed,0:38,neutral,Peyton
1131-QQZEB,3/26/2021,phone,inquiry,converted,0:15,positive,Skylar
5716-EZXZN,4/5/2021,email,complaint,escalated,0:02,negative,Javi
6837-BJYDQ,2/3/2022,chat,complaint,closed,0:06,negative,Fran
2135-RXIHG,11/14/2022,twitter,complaint,closed,0:02,negative,Liz
6440-DKQGE,12/23/2022,instagram,complaint,pending,0:02,neutral,Liz
3466-BYAVD,2/13/2022,in-person,purchase,closed,0:22,positive,Anton
3780-YVMFA,8/19/2021,phone,support,closed,0:02,neutral,Greg
3874-EQOEP,3/26/2021,email,feedback,closed,0:02,negative,Isla
1679-JRFBR,4/5/2021,chat,complaint,escalated,0:02,negative,Emily
9073-ZZIAY,2/3/2022,twitter,complaint,resolved,0:02,positive,Violet
3077-RSNTJ,1/2/2021,instagram,complaint,escalated,0:02,negative,Norma
6551-GNYDG,1/13/2022,in-person,subscription,closed,0:38,neutral,John
9167-APMXZ,3/26/2021,phone,inquiry,converted,0:15,positive,Raul
2749-CTKAJ,4/5/2021,email,complaint,escalated,0:02,negative,Liz
6371-NZYEG,2/3/2022,chat,complaint,closed,0:06,negative,Sam
7554-NEWDD,11/14/2022,twitter,complaint,closed,0:02,negative,Skylar
8992-VONJD,12/23/2022,instagram,complaint,pending,0:02,neutral,Peyton
0867-MKZVY,2/13/2022,in-person,purchase,closed,0:22,positive,Skylar
4482-EWFMI,8/19/2021,phone,support,closed,0:02,neutral,Javi
4648-YPBTM,3/26/2021,email,feedback,closed,0:02,negative,Fran
2907-ILJBN,4/5/2021,chat,complaint,escalated,0:02,negative,Liz
6345-FZOQH,2/3/2022,twitter,complaint,resolved,0:02,positive,Liz
3376-BMGFE,1/2/2021,instagram,complaint,escalated,0:02,negative,Anton
5997-OPVFA,1/13/2022,in-person,subscription,closed,0:38,neutral,Greg
3445-HXXGF,11/14/2022,phone,inquiry,converted,0:15,positive,Isla
1159-WFSGR,12/23/2022,email,complaint,escalated,0:02,negative,Emily
7654-YWJUF,2/13/2022,chat,complaint,closed,0:06,negative,Violet
1875-QIVME,8/19/2021,twitter,complaint,closed,0:02,negative,Norma
6727-IOTLZ,3/26/2021,instagram,complaint,pending,0:02,neutral,John
0691-JVSYA,4/5/2021,in-person,purchase,closed,0:22,positive,Raul
5918-VUKWP,2/3/2022,phone,support,closed,0:02,neutral,Liz
1744-JHKYS,11/14/2022,email,feedback,closed,0:02,negative,Sam
2656-FMOKZ,12/23/2022,chat,complaint,escalated,0:02,negative,Skylar
2070-FNEXE,2/13/2022,twitter,complaint,resolved,0:02,positive,Peyton
5947-SGKCL,8/19/2021,instagram,complaint,escalated,0:02,negative,Skylar
3712-PKXZA,3/26/2021,in-person,subscription,closed,0:38,neutral,Liz
6317-YPKDH,4/5/2021,phone,inquiry,converted,0:15,positive,Jackie
6582-OIVSP,2/3/2022,email,complaint,escalated,0:02,negative,Angel
9367-WXLCH,1/2/2021,chat,complaint,closed,0:06,negative,Al
5524-KHNJP,1/13/2022,twitter,complaint,closed,0:02,negative,Al
1918-ZBFQJ,11/14/2022,instagram,complaint,pending,0:02,neutral,Ingrid
1024-GUALD,12/23/2022,in-person,purchase,closed,0:22,positive,Gigi
4827-USJHP,2/13/2022,phone,support,closed,0:02,neutral,Linda
8167-GJLRN,8/19/2021,email,feedback,closed,0:02,negative,Maureen
0956-SYCWG,3/26/2021,chat,complaint,escalated,0:02,negative,Maureen
8017-UVSZU,4/5/2021,twitter,complaint,resolved,0:02,positive,Sasha
7100-FQPRV,2/3/2022,instagram,complaint,escalated,0:02,negative,Kristen
2472-OVKUP,11/14/2022,in-person,subscription,closed,0:38,neutral,Kayleigh
2984-RGEYA,12/23/2022,phone,inquiry,converted,0:15,positive,Javi
9680-NIAUV,2/13/2022,email,complaint,escalated,0:02,negative,Fran
2146-EGVDT,8/19/2021,chat,complaint,closed,0:06,negative,Liz
2604-IJPDU,3/26/2021,twitter,complaint,closed,0:02,negative,Liz
9178-JHUVJ,4/5/2021,instagram,complaint,pending,0:02,neutral,Anton
6168-YBYNP,2/3/2022,in-person,purchase,closed,0:22,positive,Greg
7255-SSFBC,1/2/2021,phone,support,closed,0:02,neutral,Isla
3645-DEYGF,1/13/2022,email,feedback,closed,0:02,negative,Emily
9323-HGFWY,11/14/2022,chat,complaint,escalated,0:02,negative,Violet
8544-GOQSH,12/23/2022,twitter,complaint,resolved,0:02,positive,Norma
3363-DTIVD,2/12/2022,instagram,complaint,escalated,0:02,negative,John
7018-WBJNK,8/19/2021,in-person,subscription,closed,0:38,neutral,Raul
9142-KZXOP,3/26/2021,phone,inquiry,converted,0:15,positive,Liz
7674-YTAFD,4/5/2021,email,complaint,escalated,0:02,negative,Sam
6348-SNFUS,2/3/2022,chat,complaint,closed,0:06,negative,Skylar
1285-OKIPP,11/14/2022,twitter,complaint,closed,0:02,negative,Peyton
7825-ECJRF,12/23/2022,instagram,complaint,pending,0:02,neutral,Skylar
1347-KTTTA,2/13/2022,in-person,purchase,closed,0:22,positive,Javi
7841-TZDMQ,8/19/2021,phone,support,closed,0:02,neutral,Fran
4195-NZGTA,3/26/2021,email,feedback,closed,0:02,negative,Liz
7157-SMCFK,4/5/2021,chat,complaint,escalated,0:02,negative,Liz
4709-LKHYG,2/3/2022,twitter,complaint,resolved,0:02,positive,Anton
2504-DSHIH,1/2/2021,instagram,complaint,escalated,0:02,negative,Greg
0699-NDKJM,1/13/2022,in-person,subscription,closed,0:38,neutral,Isla
9286-BHDQG,7/15/2022,phone,inquiry,converted,0:15,positive,Emily
0230-WEQUW,9/8/2022,email,complaint,escalated,0:02,negative,Violet
2040-LDIWQ,10/10/2021,chat,complaint,closed,0:06,negative,Norma
6496-JDSSB,3/25/2021,twitter,complaint,closed,0:02,negative,John
9408-SSNVZ,5/8/2022,instagram,complaint,pending,0:02,neutral,Raul
4443-EMBNA,7/15/2022,in-person,purchase,closed,0:22,positive,Liz
6469-MRVET,9/8/2022,phone,support,closed,0:02,neutral,Sam
0742-MOABM,10/10/2021,email,feedback,closed,0:02,negative,Skylar
5961-VUSRV,11/14/2022,chat,complaint,escalated,0:02,negative,Peyton
6778-JFCMK,12/23/2022,twitter,complaint,resolved,0:02,positive,Skylar
6341-JVQGF,2/13/2022,instagram,complaint,escalated,0:02,negative,Javi
2232-DMLXU,8/19/2021,in-person,subscription,closed,0:38,neutral,Fran
4811-JBUVU,3/26/2021,phone,inquiry,converted,0:15,positive,Liz
0945-TSONX,4/5/2021,email,complaint,escalated,0:02,negative,Liz
2651-ZCBXV,2/3/2022,chat,complaint,closed,0:06,negative,Anton
3316-UWXUY,11/14/2022,twitter,complaint,closed,0:02,negative,Greg
8937-RDTHP,12/23/2022,instagram,complaint,pending,0:02,neutral,Isla
7083-MIOPC,2/13/2022,in-person,purchase,closed,0:22,positive,Emily
1984-GPTEH,8/19/2021,phone,support,closed,0:02,neutral,Violet
1251-KRREG,3/26/2021,email,feedback,closed,0:02,negative,Norma
0621-JFHOL,4/5/2021,chat,complaint,escalated,0:02,negative,John
9903-LYSAB,2/3/2022,twitter,complaint,resolved,0:02,positive,Raul
0094-OIFMO,1/2/2021,instagram,complaint,escalated,0:02,negative,Liz
9227-UAQFT,1/13/2022,in-person,subscription,closed,0:38,neutral,Sam
7301-ABVAD,3/26/2021,phone,inquiry,converted,0:15,positive,Skylar
6614-FHDBO,4/5/2021,email,complaint,escalated,0:02,negative,Peyton
7576-ASEJU,2/3/2022,chat,complaint,closed,0:06,negative,Skylar
9058-HRZSV,11/14/2022,twitter,complaint,closed,0:02,negative,Liz
4522-AKYLR,12/23/2022,instagram,complaint,pending,0:02,neutral,Jackie
0221-WMXNQ,2/13/2022,in-person,purchase,closed,0:22,positive,Angel
0303-UNCIP,8/19/2021,phone,support,closed,0:02,neutral,Al
9947-OTFQU,3/26/2021,email,feedback,closed,0:02,negative,Al
0322-YINQP,4/5/2021,chat,complaint,escalated,0:02,negative,Ingrid
0959-WHOKV,2/3/2022,twitter,complaint,resolved,0:02,positive,Gigi
4075-JFPGR,1/2/2021,instagram,complaint,escalated,0:02,negative,Linda
4629-NRXKX,1/13/2022,in-person,subscription,closed,0:38,neutral,Maureen
9514-JDSKI,11/14/2022,phone,inquiry,converted,0:15,positive,Maureen
3282-ZISZV,12/23/2022,email,complaint,escalated,0:02,negative,Sasha
3675-YDUPJ,2/13/2022,chat,complaint,closed,0:06,negative,Kristen
4111-BNXIF,8/19/2021,twitter,complaint,closed,0:02,negative,Kayleigh
7017-VFHAY,3/26/2021,instagram,complaint,pending,0:02,neutral,Trent
6655-LHBYW,4/5/2021,in-person,purchase,closed,0:22,positive,Trevor
4959-JOSRX,2/3/2022,phone,support,closed,0:02,neutral,Ben
5046-NUHWD,11/14/2022,email,feedback,closed,0:02,negative,Cassie
7273-TEFQD,12/23/2022,chat,complaint,escalated,0:02,negative,Lisa
3606-TWKGI,2/13/2022,twitter,complaint,resolved,0:02,positive,Liza
7529-ZDFXI,8/19/2021,instagram,complaint,escalated,0:02,negative,Laurie
7605-BDWDC,3/26/2021,in-person,subscription,closed,0:38,neutral,Sandy
1950-KSVVJ,4/5/2021,phone,inquiry,converted,0:15,positive,Alex
0123-CRBRT,2/3/2022,email,complaint,escalated,0:02,negative,Wilson
6292-TOSSS,1/2/2021,chat,complaint,closed,0:06,negative,Trent
3197-ARFOY,1/13/2022,twitter,complaint,closed,0:02,negative,Trevor
6323-AYBRX,11/14/2022,instagram,complaint,pending,0:02,neutral,Ben
7014-ZZXAW,12/23/2022,in-person,purchase,closed,0:22,positive,Cassie
4385-GZQXV,2/13/2022,phone,support,closed,0:02,neutral,Lisa
7633-MVPUY,8/19/2021,email,feedback,closed,0:02,negative,Liza
6366-ZGQGL,3/26/2021,chat,complaint,escalated,0:02,negative,Laurie
4716-HHKQH,4/5/2021,twitter,complaint,resolved,0:02,positive,Sandy
5940-AHUHD,2/3/2022,instagram,complaint,escalated,0:02,negative,Alex
6432-TWQLB,11/14/2022,in-person,subscription,closed,0:38,neutral,Wilson
4484-GLZOU,12/23/2022,phone,inquiry,converted,0:15,positive,Trent
3179-GBRWV,2/13/2022,email,complaint,escalated,0:02,negative,Trevor
8645-KWHJO,8/19/2021,chat,complaint,closed,0:06,negative,Ben
4130-MZLCC,3/26/2021,twitter,complaint,closed,0:02,negative,Cassie
0314-TKOSI,4/5/2021,instagram,complaint,pending,0:02,neutral,Lisa
8229-MYEJZ,2/3/2022,in-person,purchase,closed,0:22,positive,Liza
2080-SRCDE,1/2/2021,phone,support,closed,0:02,neutral,Laurie
9577-WJVCQ,1/13/2022,email,feedback,closed,0:02,negative,Sandy
9512-UIBFX,11/14/2022,chat,complaint,escalated,0:02,negative,Alex
6202-DYYFX,12/23/2022,twitter,complaint,resolved,0:02,positive,Wilson
3808-HFKDE,2/12/2022,instagram,complaint,escalated,0:02,negative,Sasha
5583-SXDAG,8/19/2021,in-person,subscription,closed,0:38,neutral,Amy
3488-PGMQJ,3/26/2021,phone,inquiry,converted,0:15,positive,Raul
3580-REOAC,4/5/2021,email,complaint,escalated,0:02,negative,Raul
7534-BFESC,2/3/2022,chat,complaint,closed,0:06,negative,Priyanka
3727-OWVYD,11/14/2022,twitter,complaint,closed,0:02,negative,Ali
2294-SALNE,12/23/2022,instagram,complaint,pending,0:02,neutral,Ali
4847-TAJYI,2/13/2022,in-person,purchase,closed,0:22,positive,Priyanka
1563-IWQEX,8/19/2021,phone,support,closed,0:02,neutral,Sean
8203-XJZRC,3/26/2021,email,feedback,closed,0:02,negative,Lisa
6556-DBKZF,4/5/2021,chat,complaint,escalated,0:02,negative,Jen
6851-WEFYX,2/3/2022,twitter,complaint,resolved,0:02,positive,Jen
2985-JUUBZ,1/2/2021,instagram,complaint,escalated,0:02,negative,Jen
6390-DSAZX,1/13/2022,in-person,subscription,closed,0:38,neutral,MJ
0895-LMRSF,7/15/2022,phone,inquiry,converted,0:15,positive,Jordan
8098-LLAZX,9/8/2022,email,complaint,escalated,0:02,negative,Julian
8266-VBFQL,10/10/2021,chat,complaint,closed,0:06,negative,Javi
8181-YHCMF,3/25/2021,twitter,complaint,closed,0:02,negative,Fran
2240-HSJQD,5/8/2022,instagram,complaint,pending,0:02,neutral,Liz
1248-DYXUB,7/15/2022,in-person,purchase,closed,0:22,positive,Liz
0265-EDXBD,9/8/2022,phone,support,closed,0:02,neutral,Anton
4115-BNPJY,10/10/2021,email,feedback,closed,0:02,negative,Greg
3167-SNQPL,11/14/2022,chat,complaint,escalated,0:02,negative,Isla
4091-TVOCN,12/23/2022,twitter,complaint,resolved,0:02,positive,Emily
1098-TDVUQ,2/13/2022,instagram,complaint,escalated,0:02,negative,Violet
7277-OZCGZ,8/19/2021,in-person,subscription,closed,0:38,neutral,Norma
1557-EMYVT,3/26/2021,phone,inquiry,converted,0:15,positive,John
2799-ARNLO,4/5/2021,email,complaint,escalated,0:02,negative,Raul
7563-BIUPC,2/3/2022,chat,complaint,closed,0:06,negative,Liz
5027-YOCXN,11/14/2022,twitter,complaint,closed,0:02,negative,Sam
3973-SKMLN,12/23/2022,instagram,complaint,pending,0:02,neutral,Skylar
2321-OMBXY,2/13/2022,in-person,purchase,closed,0:22,positive,Peyton
2840-XANRC,8/19/2021,phone,support,closed,0:02,neutral,Skylar
6745-JEFZB,3/26/2021,email,feedback,closed,0:02,negative,Javi
5020-ZSTTY,4/5/2021,chat,complaint,escalated,0:02,negative,Fran
9880-TDQAC,2/3/2022,twitter,complaint,resolved,0:02,positive,Liz
8705-WZCYL,1/2/2021,instagram,complaint,escalated,0:02,negative,Liz
7102-JJVTX,1/13/2022,in-person,subscription,closed,0:38,neutral,Anton
8626-PTQGE,3/26/2021,phone,inquiry,converted,0:15,positive,Greg
4983-CLMLV,4/5/2021,email,complaint,escalated,0:02,negative,Isla
5701-YVSVF,2/3/2022,chat,complaint,closed,0:06,negative,Emily
5804-LEPIM,11/14/2022,twitter,complaint,closed,0:02,negative,Violet
5697-GOMBF,12/23/2022,instagram,complaint,pending,0:02,neutral,Norma
2739-CACDQ,2/13/2022,in-person,purchase,closed,0:22,positive,John
9385-EHGDO,8/19/2021,phone,support,closed,0:02,neutral,Raul
9498-FIMXL,3/26/2021,email,feedback,closed,0:02,negative,Liz
2379-GYFLQ,4/5/2021,chat,complaint,escalated,0:02,negative,Sam
0122-OAHPZ,2/3/2022,twitter,complaint,resolved,0:02,positive,Skylar
2868-SNELZ,1/2/2021,instagram,complaint,escalated,0:02,negative,Peyton
4322-RCYMT,1/13/2022,in-person,subscription,closed,0:38,neutral,Skylar
6680-NENYN,11/14/2022,phone,inquiry,converted,0:15,positive,Javi
2088-IEBAU,12/23/2022,email,complaint,escalated,0:02,negative,Fran
7982-VCELR,2/13/2022,chat,complaint,closed,0:06,negative,Liz
1343-EHPYB,8/19/2021,twitter,complaint,closed,0:02,negative,Liz
6035-BXTTY,3/26/2021,instagram,complaint,pending,0:02,neutral,Anton
6885-PKOAM,4/5/2021,in-person,purchase,closed,0:22,positive,Greg
7520-HQWJU,2/3/2022,phone,support,closed,0:02,neutral,Isla
9639-BUJXT,11/14/2022,email,feedback,closed,0:02,negative,Emily
5924-SNGKP,12/23/2022,chat,complaint,escalated,0:02,negative,Violet
0021-IKXGC,2/13/2022,twitter,complaint,resolved,0:02,positive,Norma
2034-GDRCN,8/19/2021,instagram,complaint,escalated,0:02,negative,John
8966-SNIZF,3/26/2021,in-person,subscription,closed,0:38,neutral,Raul
6243-OZGFH,4/5/2021,phone,inquiry,converted,0:15,positive,Liz
4654-DLAMQ,2/3/2022,email,complaint,escalated,0:02,negative,Sam
0513-RBGPE,1/2/2021,chat,complaint,closed,0:06,negative,Skylar
5160-UXJED,1/13/2022,twitter,complaint,closed,0:02,negative,Peyton
4115-NZRKS,11/14/2022,instagram,complaint,pending,0:02,neutral,Skylar
0219-YTZUE,12/23/2022,in-person,purchase,closed,0:22,positive,Liz
0623-IIHUG,2/13/2022,phone,support,closed,0:02,neutral,Jackie
4572-DVCGN,8/19/2021,email,feedback,closed,0:02,negative,Angel
3351-NGXYI,3/26/2021,chat,complaint,escalated,0:02,negative,Al
8984-EYLLL,4/5/2021,twitter,complaint,resolved,0:02,positive,Al
9057-MSWCO,2/3/2022,instagram,complaint,escalated,0:02,negative,Ingrid
9833-TGFHX,11/14/2022,in-person,subscription,closed,0:38,neutral,Gigi
9294-TDIPC,12/23/2022,phone,inquiry,converted,0:15,positive,Linda
5229-DTFYB,2/13/2022,email,complaint,escalated,0:02,negative,Maureen
0104-PPXDV,8/19/2021,chat,complaint,closed,0:06,negative,Maureen
5176-LMJXE,3/26/2021,twitter,complaint,closed,0:02,negative,Sasha
